bin_size,num_files,num_dirs,num_symlinks,num_blks,num_chrs,num_fifos,num_socks
1,73875658,0,224,0,8,0,68
2,733638,0,3102,0,0,0,0
4,1338641,0,88464,0,0,0,0
8,1373781,0,560558,0,0,0,0
16,1345603,0,2331003,0,0,0,0
32,10417459,0,3265920,0,0,0,0
64,15152092,0,2381064,0,0,0,0
128,16621622,0,7593980,0,0,0,0
256,27342572,0,699722,0,0,0,0
512,53282293,59428113,2645,0,0,0,0
1024,42685162,0,2,0,0,0,0
2048,56595896,0,0,0,0,0,0
4096,71514990,0,0,0,0,0,0
8192,62884344,0,0,0,0,0,0
16384,71677597,0,0,0,0,0,0
32768,82198318,0,0,0,0,0,0
65536,51115993,0,0,0,0,0,0
131072,47926400,0,0,0,0,0,0
262144,52466273,0,0,0,0,0,0
524288,36468380,0,0,0,0,0,0
1048576,36566808,0,0,0,0,0,0
2097152,38108978,0,0,0,0,0,0
4194304,91668281,0,0,0,0,0,0
8388608,24281778,0,0,0,0,0,0
16777216,17724805,0,0,0,0,0,0
33554432,10065422,0,0,0,0,0,0
67108864,12460134,0,6,0,0,0,0
134217728,3561279,0,0,0,0,0,0
268435456,1591373,0,0,0,0,0,0
536870912,1424890,0,0,0,0,0,0
1073741824,1308967,0,0,0,0,0,0
2147483648,245647,0,0,0,0,0,0
4294967296,104670,0,0,0,0,0,0
8589934592,56917,0,0,0,0,0,0
17179869184,33103,0,0,0,0,0,0
34359738368,18054,0,0,0,0,0,0
68719476736,8120,0,0,0,0,0,0
137438953472,2576,0,0,0,0,0,0
274877906944,1490,0,0,0,0,0,0
549755813888,341,0,0,0,0,0,0
1099511627776,48,0,0,0,0,0,0
2199023255552,72,0,0,0,0,0,0
4398046511104,29,0,0,0,0,0,0
8796093022208,5,0,0,0,0,0,0
17592186044416,1,0,0,0,0,0,0
35184372088832,0,0,0,0,0,0,0
70368744177664,0,0,0,0,0,0,0
140737488355328,0,0,0,0,0,0,0
281474976710656,0,0,0,0,0,0,0
562949953421312,0,0,0,0,0,0,0
1125899906842624,0,0,0,0,0,0,0
2251799813685248,0,0,0,0,0,0,0
4503599627370496,0,0,0,0,0,0,0
9007199254740992,0,0,0,0,0,0,0
18014398509481984,0,0,0,0,0,0,0
36028797018963968,0,0,0,0,0,0,0
72057594037927936,0,0,0,0,0,0,0
144115188075855872,0,0,0,0,0,0,0
288230376151711744,0,0,0,0,0,0,0
576460752303423488,0,0,0,0,0,0,0

